test_id	test_value
SKP400-01	7,02294471618016
SKP400-01	7,0095310587399
SKP400-01	6,99808602230476
SKP400-01	7,02959502291186
SKP400-01	7,0523087436432
SKP400-01	6,98209742251249
SKP400-01	7,02953269689321
SKP400-01	7,03526724741499
SKP400-01	6,89421157717613
SKP400-01	6,99660893077762
SKP400-01	7,01477657796701
SKP400-01	6,95103603369153
SKP400-01	7,07365123868436
SKP400-01	6,97390584596445
SKP400-01	6,87996654058556
SKP400-01	6,89033676047181
SKP400-01	6,85198644957966
SKP400-01	6,8084369049527
SKP400-01	6,9793445234234
SKP400-01	7,01197852864229
OSKP600-70	4,229
OSKP600-70	4,194
OSKP600-70	4,592
OSKP600-70	4,29
OSKP600-70	4,433
OSKP600-70	4,302
OSKP600-70	4,229
OSKP600-70	4,152
OSKP600-70	3,327
OSKP600-70	4,19
OSKP600-70	4,129
OSKP600-70	3,956
OSKP600-70	3,888
OSKP600-70	4,107
OSKP600-70	4,171
OSKP600-70	4,062
OSKP600-70	4,108
OSKP600-70	4,243
OSKP600-70	3,981
OSKP600-70	3,898
OSKP600-70	4,284
OSKP600-70	4,247
OSKP600-70	3,26
OSKP600-70	5,065
OSKP600-70	4,396
OSKP600-70	4,14
OSKP600-70	4,28
OSKP600-70	4,401
OSKP600-70	4,424
OSKP600-70	4,482
OSKP600-70	4,336
OSKP600-70	3,912
OSKP600-70	4,078
OSKP600-70	4,192
OSKP600-70	4,353
OSKP600-70	4,141
OSKP600-70	4,109
OSKP600-70	4,183
OSKP600-70	4,314
OSKP600-70	4,067
OSKP600-70	4,553
OSKP600-70	4,227
OSKP600-70	4,086
OSKP600-70	4,5
OSKP600-70	4,295
OSKP600-70	4,305
OSKP600-70	4,401
OSKP600-70	4,329
OSKP600-70	4,069
OSKP600-70	4,566
OSKP600-70	4,076
OSKP600-70	4,694
OSKP600-70	4,175
OSKP600-70	4,571
OSKP600-70	4,567
OSKP600-70	4,108
OSKP600-70	4,369
OSKP600-70	3,261
OSKP600-70	4,191
OSKP600-70	4,1
OSKP600-70	3,879
OSKP600-70	3,662
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,0
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,0
M200-5	8,1
M200-5	8,0
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,0
M200-5	8,1
M200-5	8,0
M200-5	8,1
M200-5	8,1
M200-5	8,0
M200-5	8,0
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,0
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,0
M200-5	8,1
M200-5	8,0
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,1
M200-5	8,0
M200-5	8,1
M200-5	8,1
M400-5	8,1
M400-5	8,0
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,1
M400-5	8,0
M400-5	8,1
M400-5	8,1
SKP500-04	56,48
SKP500-04	54,18
SKP500-04	54,22
SKP500-04	54,8
SKP500-04	56,32
SKP500-04	56,64
SKP500-04	55,56
SKP500-04	56,7
SKP500-04	56,5
SKP500-04	55,54
SKP500-04	56,12
SKP500-04	56,2
SKP500-04	53,76
SKP500-04	54,9
SKP500-04	56,88
SKP500-04	56,3
SKP500-04	58,06
SKP500-04	56,96
SKP500-04	55,6
SKP500-04	55,92
SKP500-04	56,6
SKP500-04	56,26
SKP500-04	55,56
SKP500-04	54,98
SKP500-04	55,04
SKP500-04	56,96
SKP500-04	55,82
SKP500-04	55,48
SKP500-04	54,52
SKP500-04	55,98
SKP500-04	56,88
SKP500-04	55,5
SKP500-04	56,1
SKP500-04	53,8
SKP500-04	58,48
SKP500-04	55,64
SKP500-04	55,48
SKP500-04	55,98
SKP500-04	57,0
SKP500-04	56,18
SKP500-04	55,92
SKP500-04	57,12
SKP500-04	57,32
SKP500-04	57,0
SKP500-04	56,14
SKP500-04	57,44
SKP500-04	56,4
SKP500-04	55,7
SKP500-04	58,26
SKP500-04	56,14
SKP500-04	59,6
SKP500-04	55,82
SKP500-04	57,6
SKP500-04	56,5
SKP500-04	55,62
SKP500-04	57,2
SKP500-04	54,42
SKP500-04	55,0
SKP500-04	55,06
SKP500-04	55,96
SKP500-04	58,5
SKP500-04	54,64
M700-6	-8,2
M700-6	-8,1
M700-6	-8,2
M700-6	-8,1
M700-6	-8,1
M700-6	-7,9
M700-6	-7,9
M700-6	-7,8
